candidate_id,year_guess,confidence_score,county_guess,category_guess,source_file,source_path,line_number,review_status,matched_line,context,created_at
real_candidate_00307,2026,12,Duchesne,Dust / PM / Gravel,Duchesne-County-Planning-Commission-minutes-2_4_26-Google-Docs.txt,archive/extracted_text/legacy/Duchesne-County-Planning-Commission-minutes-2_4_26-Google-Docs.txt,48,needs_human_review,Jon Wilkerson stated he recently purchased the lot and believed there is greater demand for,still be submitted within the remaining notice period. Applicant Comments Jon Wilkerson stated he recently purchased the lot and believed there is greater demand for residential use than industrial. Public Comments,2026-06-11T19:44:35
real_candidate_00046,2026,10,Unknown,Public Concern / Needs Review,00004506.txt,archive/extracted_text/legacy/00004506.txt,6662,needs_human_review,129 or before the committee’s October 2026 meeting regarding the,"128 (4) The division shall report to the Health and Human Services Interim Committee at 129 or before the committee’s October 2026 meeting regarding the exemption described in 130 Subsection (2)(j), including information about any complaints the",2026-06-11T19:44:18
real_candidate_00047,2026,10,Unknown,Public Concern / Needs Review,00004506.txt,archive/extracted_text/legacy/00004506.txt,6663,needs_human_review,exemption described in,"Interim Committee at 129 or before the committee’s October 2026 meeting regarding the exemption described in 130 Subsection (2)(j), including information about any complaints the division has received",2026-06-11T19:44:18
real_candidate_00048,2026,10,Unknown,Public Concern / Needs Review,00004506.txt,archive/extracted_text/legacy/00004506.txt,6664,needs_human_review,"130 Subsection (2)(j), including information about any complaints the","129 or before the committee’s October 2026 meeting regarding the exemption described in 130 Subsection (2)(j), including information about any complaints the division has received 131 concerning individuals who have provided therapy or counseling",2026-06-11T19:44:18
real_candidate_00283,2025,10,Duchesne,Dust / PM / Gravel,Duchesne-County-Planning-Commission-9-3-2025.txt,archive/extracted_text/legacy/Duchesne-County-Planning-Commission-9-3-2025.txt,88,needs_human_review,Public Comments,"He committed to coordinate with neighbors and the emergency management department before the continued hearing. Public Comments ●  Andrew Olson spoke both for himself and on behalf of Sue Miller, raising concerns about road maintenance, dust, water use, fire safety, ATV use, shooting, and the need for",2026-06-11T19:44:34
real_candidate_00284,2025,10,Duchesne,Dust / PM / Gravel,Duchesne-County-Planning-Commission-9-3-2025.txt,archive/extracted_text/legacy/Duchesne-County-Planning-Commission-9-3-2025.txt,89,needs_human_review,"●  Andrew Olson spoke both for himself and on behalf of Sue Miller, raising concerns about","before the continued hearing. Public Comments ●  Andrew Olson spoke both for himself and on behalf of Sue Miller, raising concerns about road maintenance, dust, water use, fire safety, ATV use, shooting, and the need for on-site supervision.",2026-06-11T19:44:34
real_candidate_00285,2025,10,Duchesne,Dust / PM / Gravel,Duchesne-County-Planning-Commission-9-3-2025.txt,archive/extracted_text/legacy/Duchesne-County-Planning-Commission-9-3-2025.txt,90,needs_human_review,"road maintenance, dust, water use, fire safety, ATV use, shooting, and the need for","Public Comments ●  Andrew Olson spoke both for himself and on behalf of Sue Miller, raising concerns about road maintenance, dust, water use, fire safety, ATV use, shooting, and the need for on-site supervision. ●  Sue Miller expressed concerns about trespassing, fire risk, dust, and police response",2026-06-11T19:44:34
real_candidate_00286,2025,10,Duchesne,Public Concern / Needs Review,Duchesne-County-Planning-Commission-July-30th-2025.txt,archive/extracted_text/legacy/Duchesne-County-Planning-Commission-July-30th-2025.txt,240,needs_human_review,verify,can verify complaints,2026-06-11T19:44:35
real_candidate_00287,2025,10,Duchesne,Public Concern / Needs Review,Duchesne-County-Planning-Commission-July-30th-2025.txt,archive/extracted_text/legacy/Duchesne-County-Planning-Commission-July-30th-2025.txt,241,needs_human_review,,verify complaints,2026-06-11T19:44:35
real_candidate_00288,2025,10,Duchesne,Public Concern / Needs Review,Duchesne-County-Planning-Commission-July-30th-2025.txt,archive/extracted_text/legacy/Duchesne-County-Planning-Commission-July-30th-2025.txt,242,needs_human_review,complaints,verify complaints (including,2026-06-11T19:44:35
real_candidate_00289,2025,10,Duchesne,Public Concern / Needs Review,Duchesne-County-Planning-Commission-July-30th-2025.txt,archive/extracted_text/legacy/Duchesne-County-Planning-Commission-July-30th-2025.txt,243,needs_human_review,,complaints (including,2026-06-11T19:44:35
real_candidate_00290,2025,10,Duchesne,Public Concern / Needs Review,Duchesne-County-Planning-Commission-July-30th-2025.txt,archive/extracted_text/legacy/Duchesne-County-Planning-Commission-July-30th-2025.txt,244,needs_human_review,(including,complaints (including independent,2026-06-11T19:44:35
real_candidate_00291,2025,10,Duchesne,Public Concern / Needs Review,Duchesne-County-Planning-Commission-Meeting-Minutes-1-8-2025.txt,archive/extracted_text/legacy/Duchesne-County-Planning-Commission-Meeting-Minutes-1-8-2025.txt,756,needs_human_review,any,following any complaints,2026-06-11T19:44:35
real_candidate_00292,2025,10,Duchesne,Public Concern / Needs Review,Duchesne-County-Planning-Commission-Meeting-Minutes-1-8-2025.txt,archive/extracted_text/legacy/Duchesne-County-Planning-Commission-Meeting-Minutes-1-8-2025.txt,757,needs_human_review,,any complaints,2026-06-11T19:44:35
real_candidate_00293,2025,10,Duchesne,Public Concern / Needs Review,Duchesne-County-Planning-Commission-Meeting-Minutes-1-8-2025.txt,archive/extracted_text/legacy/Duchesne-County-Planning-Commission-Meeting-Minutes-1-8-2025.txt,758,needs_human_review,complaints,any complaints due,2026-06-11T19:44:35
